中毒|ちゅうどく15
主観|しゅかん|22
時代|じだい|7
開始|かいし|10
投票する|とうひょうする|25
仏徒|ぶっと|19
近々|ちかぢか|7
近々|きんきん|7
近々|ちかじか|7
最初|さいしょ|11
晩ご飯|ばんごはん|17
食事|しょくじ|9
男優|だんゆう|23
沢|さわ|23
後輩|こうはい|25
保守的|ほしゅてき|16
四つ|よっつ|2
過ぎ|すぎ|24
スペイン語|すぺいんご|10
スペイン語|スペインご|10
仲良し|なかよし|11
経済|けいざい|21
週末|しゅうまつ|7
消化不良|しょうかふりょう|14
太陽|たいよう|12
消化|しょうか|12
試験|しけん|18
手紙|てがみ|7
増加|ぞうか|21
争う|あらそう|11
気を付けて|きをつけて|9
明日|あした|8
明日|あす|8
弱々しい|よわよわしい|9
不良|ふりょう|11
骨折|こっせつ|14
私|わたし|14
私|わたくし|14
小さい順|ちいさいじゅん|19
ハート形|ハートがた|5
ハート形|はーとがた|5
忘年会|ぼうねんかい|18
仮に|かりに|9
千円札|せんえんさつ|7
模様|もよう|25
残り|のこり|14
防火|ぼうか|20
暴走族|ぼうそうぞく|21
社内|しゃない|5
焼き鳥|やきとり|18
賀状|がじょう|22
効力|こうりょく|25
臭い|くさい|20
外人|がいじん|3
勝ち|かち|11
心願|しんがん|13
札|ふだ|7
終点|しゅうてん|10
学院|がくいん|10
決定する|けっていする|11
勢い|いきおい|22
訴える|うったえる|25
勝敗|しょうはい|17
最後|さいご|10
入館料|にゅうかんりょう|13
予告|よこく|18
規模|きぼ|25
相談|そうだん|9
答え|こたえ|8
政治|せいじ|16
焼き肉|やきにく|18
焼く|やく|18
資金|しきん|21
合わせる|あわせる|11
答える|こたえる|8
上る|のぼる|1
駅長|えきちょう|13
済ます|すます|23
供える|そなえる|24
含む|ふくむ|25
流す|ながす|12
対立|たいりつ|8
二倍|にばい|12
現在|げんざい|23
万人|ばんにん|5
一番|いちばん|8
親切|しんせつ|10
昨今|さっこん|15
皿洗い|さらあらい|18
燃やす|もやす|24
登る|のぼる|12
十万|じゅうまん|3
入学|にゅうがく|5
家庭|かてい|12
無意識|むいしき|19
波|なみ|11
州|しゅう|6
民族|みんぞく|12
失礼|しつれい|7
可能性|かのうせい|20
確かに|たしかに|20
仕方|しかた|4
金持ち|かねもち|9
試食|ししょく|18
皮革|ひかく|23
イギリス人|いぎりすじん|17
イギリス人|イギリスじん|17
点|てん|6
助手|じょしゅ|8
願い事|ねがいごと|17
営む|いとなむ|22
初級|しょきゅう|11
検査|けんさ|21
木曜日|もくようび|18
他所|たしょ|8
他所|よそ|8
ゴミ箱|ごみばこ|16
ゴミ箱|ゴミばこ|16
検査する|けんさする|23
高校生|こうこうせい|9
終わる|おわる|10
労働者|ろうどうしゃ|11
味|あじ|11
映画館|えいがかん|15
提供|ていきょう|24
腰|こし|24
日本的|にほんてき|14
飯|めし|15
日常|にちじょう|17
虚弱|きょじゃく|17
何枚|なんまい|18
学年|がくねん|5
全国|ぜんこく|6
自家製|じかせい|24
割引|わりびき|25
真っ黒|まっくろ|16
賞金|しょうきん|13
不合格|ふごうかく|16
結局|けっきょく|17
葉書|はがき|18
含意|がんい|25
開く|あく|12
役人|やくにん|8
丈夫|じょうぶ|15
本屋|ほんや|9
輪|わ|13
旅館|りょかん|13
空車|くうしゃ|5
公園|こうえん|16
失恋|しつれん|17
性格|せいかく|14
鼻くそ|はなくそ|17
日本酒|にほんしゅ|10
日本酒|にっぽんしゅ|10
原子|げんし|17
鼻先|はなさき|17
店員|てんいん|12
夢中|むちゅう|20
保存|ほぞん|16
毎朝|まいあさ|8
変化|へんか|15
良い|よい|11
良い|いい|11
仕返し|しかえし|10
肉屋|にくや|9
不自由|ふじゆう|9
初めて|はじめて|13
初めに|はじめに|13
魚屋|さかなや|9
構成|こうせい|25
注ぐ|そそぐ|11
注ぐ|つぐ|11
商売|しょうばい|12
