中毒|ちゅうどく15
整然|せいぜん|13
信じる|しんじる|15
目玉|めだま|2
大事|だいじ|9
茶屋|ちゃや|9
役に立つ|やくにたつ|8
川底|かわぞこ|17
戦場|せんじょう|11
熱|ねつ|13
建てる|たてる|15
外側|そとがわ|17
景色|けしき|25
子猫|こねこ|15
関西弁|かんさいべん|18
調べる|しらべる|10
教訓|きょうくん|18
大変|たいへん|15
二巻|にかん|25
割合|わりあい|23
試合|しあい|18
回転ずし|かいてんずし|14
完全|かんぜん|14
姿|すがた|22
不器用|ぶきよう|15
余る|あまる|20
朝寝坊|あさねぼう|24
暗記|あんき|13
勇気|ゆうき|15
警察署|けいさつしょ|19
優秀|ゆうしゅう|23
申し申し|もうしもうし|4
申し申し|もしもし|4
発売|はつばい|9
別人|べつじん|11
短刀|たんとう|12
不文律|ふぶんりつ|23
満足|まんぞく|25
仲間|なかま|11
主位|しゅい|11
働く|はたらく|11
同感|どうかん|13
論文|ろんぶん|20
下巻|げかん|25
受付|うけつけ|11
昔|むかし|11
難しい|むずかしい|20
かき氷|かきごおり|4
投げる|なげる|8
聞こえる|きこえる|12
追いかける|おいかける|13
専門|せんもん|16
外観|がいかん|22
欠点|けってん|7
別の|べつの|11
企画|きかく|21
岡山県|おかやまけん|21
面倒臭い|めんどうくさい|22
高血圧|こうけつあつ|22
非難する|ひなんする|22
戸口|とぐち|3
階|かい|12
本社|ほんしゃ|5
集める|あつめる|10
枚|まい|18
理解する|りかいする|23
地上|ちじょう|8
水着|みずぎ|12
増える|ふえる|21
確かめる|たしかめる|22
全部|ぜんぶ|9
天使|てんし|9
三百|さんびゃく|6
組|くみ|7
台|だい|3
説明書|せつめいしょ|19
芸人|げいにん|14
連絡する|れんらくする|19
不燃ゴミ|ふねんごみ|24
不燃ゴミ|ふねんゴミ|24
合計|ごうけい|15
寝坊|ねぼう|22
優しい|やさしい|23
総理府|そうりふ|23
品質|ひんしつ|24
貝|かい|4
薬学|やくがく|17
可分|かぶん|18
三個|さんこ|20
割れる|われる|25
主語|しゅご|10
腕時計|うでどけい|24
雰囲気|ふんいき|14
八冊|はっさつ|19
続々|ぞくぞく|19
低い|ひくい|11
一歩|いっぽ|6
神道|しんとう|11
羽|はね|5
強力|きょうりょく|7
駅員|えきいん|13
消しゴム|けしごむ|14
消しゴム|けしゴム|14
座席|ざせき|18
困難|こんなん|20
警察官|けいさつかん|21
義理|ぎり|21
受領書|じゅりょうしょ|22
北海道|ほっかいどう|8
速い|はやい|10
新年|しんねん|9
自動車|じどうしゃ|16
解説|かいせつ|21
対談|たいだん|9
実感|じっかん|13
食べ物|たべもの|9
要る|いる|9
品詞|ひんし|19
形容動詞|けいようどうし|21
屋上|おくじょう|11
人|にん|3
名古屋|なごや|9
強制|きょうせい|21
理解|りかい|21
分解|ぶんかい|21
圧倒する|あっとうする|22
保守主義|ほしゅしゅぎ|21
混じる|まじる|21
いい加減にしろ|いいかげんにしろ|21
省く|はぶく|21
無税|むぜい|21
固有名詞|こゆうめいし|21
資料|しりょう|21
国際|こくさい|21
宮|みや|22
断る|ことわる|21
条約|じょうやく|21
女権|じょけん|21
大勢|おおぜい|22
寝る|ねる|22
援助|えんじょ|22
誕生|たんじょう|22
お手洗い|おてあらい|22
提出|ていしゅつ|22
指示|しじ|22
脱ぐ|ぬぐ|22
脱走する|だっそうする|22
脱税|だつぜい|22
過ぎる|すぎる|22
観る|みる|22
委員会|いいんかい|23
新幹線|しんかんせん|23
現れる|あらわれる|23
表現|ひょうげん|23
現実|げんじつ|23
看護師|かんごし|23
負担|ふたん|24
子供|こども|24
株|かぶ|24
良質|りょうしつ|24
輸出|ゆしゅつ|24
記述|きじゅつ|24
多額|たがく|24
販売|はんばい|24
警視庁|けいしちょう|24
応援団|おうえんだん|24
株式|かぶしき|24
記載|きさい|24
気候|きこう|25
結構|けっこう|25
体育|たいいく|13
掛ける|かける|25
全景|ぜんけい|25
満点|まんてん|25
大声|おおごえ|5
車両|しゃりょう|6
丁度いい|ちょうどいい|11
言葉|ことば|12
東口|ひがしぐち|8
工学者|こうがくしゃ|8
料理人|りょうりにん|16
入門|にゅうもん|16
施行|しこう|23
施行|せこう|23
字典|じてん|16
関係|かんけい|16
危ない|あぶない|16
取る|とる|16
弁当|べんとう|16
急行|きゅうこう|16
残品|ざんぴん|16
辞書|じしょ|16
固める|かためる|16
不治|ふじ|16
不治|ふち |16
浴びる|あびる|16
日光浴|にっこうよく|16
写真|しゃしん|16
地面|じめん|16
面白い|おもしろい|16
仕事|しごと|11
東京弁|とうきょうべん|16
薬|くすり|17
混ぜる|まぜる|19
図|ず|5
欠席|けっせき|17
干天|かんてん|17
建前|たてまえ|17
光栄|こうえい|17
鼻歌|はなうた|17
塩味|しおあじ|17
栄える|さかえる|17
取り分け|とりわけ|18
情報|じょうほう|18
予報|よほう|18
証明書|しょうめいしょ|18
里心|さとごころ|5
南口|みなみぐち|8
大阪弁|おおさかべん|18
汽車|きしゃ|18
許す|ゆるす|18
禅寺|ぜんでら|18
禅寺|ぜんじ|18
大人|おとな|1
三|さん|1
三つ|みっつ|1
一|いち|1
丸い|まるい|2
下|した|1
九|きゅう|1
九|く|1
上がる|あがる|1
二つ|ふたつ|1
人|ひと|1
二人|ふたり|1
入れる|いれる|1
力|ちから|1
人口|じんこう|1
中々|なかなか|2
入り口|いりぐち|1
母|はは|3
六月|ろくがつ|2
大きさ|おおきさ|1
大した|たいした|1
女|おんな|1
ふじ山|ふじさん|1
川|かわ|1
中|なか|2
丸|まる|2
五十|ごじゅう|2
先日|せんじつ|4
六つ|むっつ|2
十六|じゅうろく|2
出す|だす|2
四十二|よんじゅうに|2
子犬|こいぬ|2
右|みぎ|2
右手|みぎて|2
四|し|2
四|よん|2
四千|よんせん|2
出る|でる|2
秀でる|ひいでる|23
四月|しがつ|2
天|てん|2
女の子|おんなのこ|2
上手|じょうず|2
文|ぶん|2
一月|いちがつ|2
下手|へた|2
月|つき|2
才|さい|2
木|き|2
本|ほん|2
一万|いちまん|3
日本|にほん|2
日本|にっぽん|2
生|なま|3
少ない|すくない|3
水|みず|2
火山|かざん|2
玉ねぎ|たまねぎ|2
人生|じんせい|3
田|た|2
正す|ただす|2
分かる|わかる|3
今日|きょう|3
兄|あに|3
白人|はくじん|2
久しい|ひさしい|3
太い|ふとい|3
先月|せんげつ|4
古い|ふるい|3
少し|すこし|3
シアトル市|しあとるし|3
シアトル市|シアトルし|3
中古|ちゅうこ|3
止める|とめる|3
お母さん|おかあさん|3
毛|け|3
父|ちち|3
代わる|かわる|4
三世|さんせい|4
世|よ|4
今すぐ|いますぐ|5
一代|いちだい|4
休み|やすみ|4
不正|ふせい|4
一文字|いちもんじ|4
一文字|いちもじ|4
同じ|おなじ|5
先々月|せんせんげつ|4
先年|せんねん|4
先生|せんせい|4
気分|きぶん|4
去年|きょねん|4
年内|ねんない|4
一年生|いちねんせい|4
二百|にひゃく|4
一打|いちだ|4
氷|こおり|4
一気|いっき|4
打つ|うつ|4
男|おとこ|4
男の人|おとこのひと|5
小皿|こざら|4
皿|さら|4
見方|みかた|4
見える|みえる|4
花火|はなび|4
大会|たいかい|5
足りる|たりる|4
車|くるま|4
世の中|よのなか|6
代える|かえる|6
自在|じざい|20
体力|たいりょく|5
何人|なんにん|5
何回|なんかい|5
何月|なんがつ|5
光|ひかり|5
日光|にっこう|5
同日|どうじつ|5
何日|なんにち|5
ビー玉|びーだま|2
ビー玉|ビーだま|2
七|なな|1
七|しち|1
三人|さんにん|1
山|やま|1
女子|じょし|2
二万|にまん|3
四百|よんひゃく|4
女神|めがみ|13
皮|かわ|4
夕べ|ゆうべ|2
九つ|ここのつ|1
日|ひ|2
北|きた|3
子牛|こうし|4
十台|じゅうだい|3
正解|せいかい|21
引き分け|ひきわけ|4
二台|にだい|3
アメリカ人|あめりかじん|1
アメリカ人|アメリカじん|1
竹|たけ|4
休日|きゅうじつ|4
主に|おもに|4
平日|へいじつ|4
二世|にせい|4
英国|えいこく|15
月光|げっこう|5
光年|こうねん|5
円|えん|2
何千|なんぜん|5
生まれる|うまれる|3
写す|うつす|4
今月|こんげつ|3
王女|おうじょ|2
村人|むらびと|4
冬休み|ふゆやすみ|5
土|つち|2
百万|ひゃくまん|4
先ず|まず|4
半|はん|3
代用|だいよう|4
今晩は|こんばんは|15
五つ|いつつ|2
少年|しょうねん|4
中止|ちゅうし|3
不足|ふそく|4
主人|しゅじん|4
生きる|いきる|3
２０１１年|にせんじゅういちねん|4
七つ|ななつ|1
一つ|ひとつ|1
市立|しりつ|3
字|じ|4
八つ|やっつ|1
口|くち|1
五日|いつか|2
上げる|あげる|1
お兄さん|おにいさん|3
四日|よっか|2
年下|としした|6
久しぶり|ひさしぶり|3
代わり|かわり|6
休止|きゅうし|4
太字|ふとじ|4
有名|ゆうめい|6
心|こころ|3
お父さん|おとうさん|3
立てる|たてる|2
太る|ふとる|3
用いる|もちいる|3
休む|やすむ|4
林|はやし|5
大文字|おおもじ|4
体|からだ|5
申す|もうす|4
紀元後|きげんご|15
都会|とかい|12
不機嫌|ふきげん|22
上|うえ|1
円い|まるい|2
子|こ|2
小さい|ちいさい|2
正しい|ただしい|2
大切|たいせつ|3
先|さき|4
名字|みょうじ|4
中央|ちゅうおう|4
平ら|たいら|4
早々|そうそう|4
一本気|いっぽんぎ|4
不人気|ふにんき|7
本気|ほんき|4
気に入る|きにいる|4
耳打ち|みみうち|4
車内|しゃない|4
交ぜる|まぜる|5
会う|あう|5
作る|つくる|5
作用|さよう|5
工作|こうさく|5
先回り|さきまわり|7
下がる|さがる|1
切る|きる|3
見る|みる|4
下げる|さげる|1
生む|うむ|3
分ける|わける|3
切れる|きれる|3
仏像|ぶつぞう|16
止まる|とまる|3
写る|うつる|4
売り切れ|うりきれ|5
売り手|うりて|5
引く|ひく|3
多い|おおい|5
小文字|こもじ|5
学ぶ|まなぶ|5
兄弟|きょうだい|5
多分|たぶん|5
弟|おとうと|5
当たる|あたる|5
形|かたち|5
早口|はやくち|6
早口|はやぐち|6
古来|こらい|5
年来|ねんらい|5
毎回|まいかい|5
毎年|まいとし|5
毎年|まいねん|5
男の子|おとこのこ|5
下町|したまち|5
入社|にゅうしゃ|5
公社|こうしゃ|5
空|そら|5
毛虫|けむし|5
米|こめ|5
考え|かんがえ|5
考える|かんがえる|5
考え方|かんがえかた|5
牛肉|ぎゅうにく|5
皮肉|ひにく|5
自立|じりつ|5
水色|みずいろ|5
色々|いろいろ|5
行き|ゆき|5
行き|いき|5
行く|いく|5
西|にし|5
三角|さんかく|5
四角|しかく|5
言う|いう|5
角|かく|5
角|かど|5
走行|そうこう|5
近い|ちかい|5
里|さと|5
お金|おかね|5
青い|あおい|5
青年|せいねん|5
両方|りょうほう|6
交わる|まじわる|8
手作り|てづくり|6
不安|ふあん|6
全く|まったく|8
全力|ぜんりょく|6
安全|あんぜん|6
この前|このまえ|8
前|まえ|6
午前|ごぜん|6
南|みなみ|6
地下|ちか|6
九州|きゅうしゅう|6
夏|なつ|7
向く|むく|6
方向|ほうこう|6
明るい|あかるい|6
次回|じかい|6
国|くに|6
外国|がいこく|6
米国|べいこく|6
今夜|こんや|6
妹|いもうと|6
安い|やすい|6
外国人|がいこくじん|6
お姉さん|おねえさん|6
少女|しょうじょ|3
少女|おとめ|3
小学生|しょうがくせい|7
中学生|ちゅうがくせい|7
死体|したい|6
早く|はやく|6
平安|へいあん|6
取れる|とれる|18
別れる|わかれる|13
当てる|あてる|8
人形|にんぎょう|6
後で|あとで|6
後ろ|うしろ|6
思う|おもう|6
不明|ふめい|6
大きく|おおきく|7
誕生日|たんじょうび|24
名曲|めいきょく|6
整理|せいり|13
有る|ある|6
宿|やど|13
出来る|できる|6
出来上がる|できあがる|8
東北|とうほく|6
夏休み|なつやすみ|7
東方|とうほう|6
歩く|あるく|6
生活|せいかつ|6
直す|なおす|6
茶色|ちゃいろ|6
付ける|つける|7
弱点|じゃくてん|7
年次|ねんじ|6
直行|ちょっこう|6
要求|ようきゅう|14
見直す|みなおす|8
妥協|だきょう|14
行う|おこなう|5
方言|ほうげん|6
以外|いがい|7
近づく|ちかづく|8
社長|しゃちょう|6
食べる|たべる|6
以上|いじょう|7
名前|なまえ|8
失う|うしなう|7
家|いえ|7
家|うち|7
同時|どうじ|7
当て字|あてじ|10
必ず|かならず|7
必死|ひっし|7
教える|おしえる|7
教室|きょうしつ|7
一時|いちじ|7
二時半|にじはん|7
戦争|せんそう|11
未だ|まだ|7
氏|し|7
社会|しゃかい|7
理由|りゆう|7
時|とき|7
工場|こうじょう|8
工場|こうば|8
自由|じゆう|7
部|ぶ|9
高い|たかい|7
紙|かみ|7
海魚|かいぎょ|7
海魚|うみざかな|7
交通|こうつう|7
通る|とおる|7
金魚|きんぎょ|7
黒人|こくじん|7
作者|さくしゃ|8
交じる|まじる|8
住む|すむ|8
数|かず|8
演芸|えんげい|23
助力|じょりょく|8
医大|いだい|8
合う|あう|8
所|ところ|8
和室|わしつ|9
向こう|むこう|8
君|くん|8
君|きみ|8
入場|にゅうじょう|8
場合|ばあい|8
反対|はんたい|8
会話|かいわ|8
安売り|やすうり|8
支局|しきょく|8
道|みち|8
大学生|だいがくせい|7
対する|たいする|8
対外|たいがい|8
局|きょく|8
役|やく|8
思い出|おもいで|8
思い出す|おもいだす|8
出所|しゅっしょ|8
入所|にゅうしょ|8
次々|つぎつぎ|8
一割|いちわり|23
支店|してん|8
朝日|あさひ|8
人数|にんずう|8
曲げる|まげる|8
革命|かくめい|23
数える|かぞえる|8
切手|きって|4
受験|じゅけん|18
点数|てんすう|8
曲がる|まがる|8
朝|あさ|8
決める|きめる|8
研究所|けんきゅうしょ|10
研究所|けんきゅうじょ|10
朝ごはん|あさごはん|8
未決|みけつ|8
決|けつ|8
自決|じけつ|8
全身|ぜんしん|8
実|じつ|9
身|み|8
万|まん|3
返す|かえす|9
道|どう|8
歩道|ほどう|8
果たして|はたして|19
国境|こっきょう|24
長さ|ながさ|8
間|かん|8
間|かん|8
人間|にんげん|8
空間|くうかん|8
間もなく|まもなく|8
電池|でんち|8
馬|うま|8
乗せる|のせる|9
工事|こうじ|9
返事|へんじ|9
見付ける|みつける|9
実力|じつりょく|9
付く|つく|9
会|かい|5
才人|さいじん|2
使う|つかう|9
家具|かぐ|9
道具|どうぐ|9
勝つ|かつ|9
受ける|うける|9
和服|わふく|9
始めに|はじめに|9
始める|はじめる|9
屋|や|9
部屋|へや|9
在留する|ざいりゅうする|22
度|ど|9
角度|かくど|9
弱虫|よわむし|9
持つ|もつ|9
苦しい|くるしい|9
最も|もっとも|10
気持ち|きもち|9
小学校|しょうがっこう|9
名物|めいぶつ|9
本物|ほんもの|9
世界|せかい|9
発見|はっけん|9
線|せん|10
美しい|うつくしい|9
要点|ようてん|9
重要|じゅうよう|9
負ける|まける|9
放送する|ほうそうする|11
送る|おくる|9
お知らせ|おしらせ|8
二重|にじゅう|9
最近|さいきん|10
重い|おもい|9
助かる|たすかる|10
化かす|ばかす|10
目医者|めいしゃ|10
出合う|であう|10
高さ|たかさ|9
投げ付ける|なげつける|10
楽しみ|たのしみ|10
歌う|うたう|12
歌手|かしゅ|10
性病|せいびょう|14
最高|さいこう|10
算数|さんすう|10
終了|しゅうりょう|10
終電|しゅうでん|12
習う|ならう|10
新聞|しんぶん|10
苦手|にがて|11
落ちる|おちる|10
死|し|6
落ち葉|おちば|12
青葉|あおば|10
親友|しんゆう|10
話し方|はなしかた|12
フランス語|ふらんすご|10
フランス語|フランスご|10
物語|ものがたり|10
読み方|よみかた|10
調子|ちょうし|10
起こす|おこす|14
起こる|おこる|12
強調|きょうちょう|10
負け犬|まけいぬ|11
革命者|かくめいしゃ|25
名|な|4
自転車|じてんしゃ|10
転送|てんそう|10
軽い|かるい|10
返る|かえる|10
早速|さっそく|10
進む|すすむ|10
配る|くばる|10
鉄人|てつじん|10
電鉄|でんてつ|10
開ける|あける|10
間に合う|まにあう|10
病院|びょういん|10
集まる|あつまる|12
見返す|みかえす|14
酒飲み|さけのみ|12
鳴く|なく|10
白黒|しろくろ|9
乗り場|のりば|11
競争|きょうそう|11
一位|いちい|11
大作|たいさく|5
近く|ちかく|7
便利|べんり|11
便所|べんじょ|11
共同|きょうどう|11
開放する|かいほうする|11
育つ|そだつ|11
上級|じょうきゅう|11
気付く|きづく|11
労働|ろうどう|11
走る|はしる|5
公共|こうきょう|11
務める|つとめる|21
放れる|はなれる|13
意外|いがい|11
別々|べつべつ|11
別に|べつに|11
利く|きく|11
成功|せいこう|11
苦労|くろう|11
決定|けってい|9
指す|さす|11
意味|いみ|11
友好|ゆうこう|11
好き|すき|11
待合室|まちあいしつ|13
完成|かんせい|14
成る|なる|11
拾う|ひろう|11
指定する|していする|11
放す|はなす|11
太平洋|たいへいよう|11
特に|とくに|11
神|かみ|11
競う|きそう|11
秒|びょう|11
演技|えんぎ|23
中級|ちゅうきゅう|11
律動的|りつどうてき|25
勉強|べんきょう|12
動物|どうぶつ|12
全員|ぜんいん|12
商人|しょうにん|12
寒い|さむい|12
庭|にわ|12
倍|ばい|12
息子|むすこ|12
悪人|あくにん|12
最悪|さいあく|12
気持ち悪い|きもちわるい|14
旅|たび|12
旅行|りょこう|12
家族|かぞく|12
学期|がっき|12
親類|しんるい|18
悪口|わるくち|14
悪口|わるぐち|14
悪口|あっこう|14
時期|じき|12
大根|だいこん|12
屋根|やね|12
根気|こんき|12
植物|しょくぶつ|12
流行|りゅうこう|12
消える|きえる|14
消化する|しょうかする|14
消す|けす|12
列|れつ|15
水深|すいしん|12
深い|ふかい|12
湯気|ゆげ|12
茶の湯|ちゃのゆ|12
野球|やきゅう|12
転ぶ|ころぶ|12
東京都|とうきょうと|12
球|たま|12
球|きゅう|12
着く|つく|12
教科書|きょうかしょ|16
着る|きる|12
着物|きもの|12
童話|どうわ|12
第一|だいいち|12
心配する|しんぱいする|12
一階|いっかい|12
外れ|はずれ|3
飲み会|のみかい|13
情け|なさけ|13
感想|かんそう|13
鳴き声|なきごえ|12
楽器|がっき|13
休学|きゅうがく|5
画像|がぞう|13
右利き|みぎきき|13
暗い|くらい|13
問題|もんだい|13
器|うつわ|13
器用|きよう|13
食器|しょっき|13
力士|りきし|13
大好き|だいすき|13
感動する|かんどうする|13
感情|かんじょう|13
戦う|たたかう|13
整理する|せいりする|15
料金|りょうきん|13
映画|えいが|13
仕方がない|しかたがない|6
映る|うつる|13
皆様|みなさま|13
皆様|みんなさま|13
目標|もくひょう|13
自殺|じさつ|13
自然|しぜん|13
熱い|あつい|13
熱心|ねっしん|13
皆さん|みなさん|13
皆さん|みんなさん|13
育てる|そだてる|13
詩|し|13
詩人|しじん|13
課長|かちょう|13
選手|せんしゅ|13
水銀|すいぎん|13
銀行|ぎんこう|13
立ち飲み|たちのみ|10
放題|ほうだい|13
欠ける|かける|7
向け|むけ|10
本館|ほんかん|13
一例|いちれい|14
協会|きょうかい|14
自動|じどう|14
お願いします|おねがいします|13
研究室|けんきゅうしつ|8
線路|せんろ|10
一周|いっしゅう|14
囲む|かこむ|14
固い|かたい|14
番号|ばんごう|8
良好|りょうこう|14
四季|しき|14
残念|ざんねん|14
人性|じんせい|14
折角|せっかく|14
望む|のぞむ|14
材料|ざいりょう|14
束|たば|14
合格する|ごうかくする|14
残る|のこる|14
求める|もとめる|14
求人|きゅうじん|14
流れる|ながれる|14
山登り|やまのぼり|14
的|てき|14
技術|ぎじゅつ|16
大仏|だいぶつ|15
回す|まわす|8
祈願|きがん|18
私大|しだい|18
芸能界|げいのうかい|14
落ち着く|おちつく|14
美術館|びじゅつかん|16
都合|つごう|14
骨|ほね|14
骨格|こっかく|14
自信|じしん|15
返信|へんしん|15
取材|しゅざい|18
通り|とおり|9
単に|たんに|15
単語|たんご|15
上司|じょうし|15
変事|へんじ|15
夫|おっと|15
好む|このむ|15
帰る|かえる|15
毎晩|まいばん|15
晴れる|はれる|15
食中毒|しょくちゅうどく|15
文法|ぶんぽう|15
泣く|なく|15
輪ゴム|わごむ|15
輪ゴム|わゴム|15
新築|しんちく|15
世紀|せいき|15
英和|えいわ|15
指輪|ゆびわ|15
係わる|かかわる|16
保持|ほじ|16
保つ|たもつ|16
古典的|こてんてき|16
事典|じてん|16
冗談|じょうだん|16
卒業する|そつぎょうする|16
卒業式|そつぎょうしき|16
下品|げひん|16
品|ひん|16
品|しな|16
新品|しんぴん|16
喜ぶ|よろこぶ|16
守る|まもる|16
幸せ|しあわせ|16
留守|るす|16
政府|せいふ|16
急死|きゅうし|16
曜日|ようび|16
治す|なおす|16
全治|ぜんじ|16
全治|ぜんち|16
明治|めいじ|16
特急|とっきゅう|16
留学|りゅうがく|16
自動的|じどうてき|16
証|あかし|16
大阪|おおさか|16
図書館|としょかん|16
芸術家|げいじゅつか|16
荷物|にもつ|16
原因|げんいん|17
漢字|かんじ|10
話す|はなす|8
辞める|やめる|16
世辞|せじ|16
内側|うちがわ|17
病人|びょうにん|10
東側|ひがしがわ|17
兵員|へいいん|17
兵士|へいし|17
米兵|べいへい|17
内因|ないいん|17
当たり|あたり|5
常に|つねに|17
常識|じょうしき|17
城|しろ|23
干す|ほす|17
幻|まぼろし|17
心底|しんそこ|17
建築家|けんちくか|17
建物|たてもの|17
恋|こい|17
正座|せいざ|18
敗れる|やぶれる|17
失敗|しっぱい|17
敗者|はいしゃ|17
無休|むきゅう|17
無事|ぶじ|17
無料|むりょう|17
紀元前|きげんぜん|17
細い|ほそい|17
薬用|やくよう|17
虚栄心|きょえいしん|17
自覚|じかく|17
図説|ずせつ|17
朝ご飯|あさごはん|17
鼻血|はなぢ|17
鼻血|はなじ|17
仏僧|ぶっそう|18
取決め|とりきめ|18
禁句|きんく|18
可愛い|かわいい|18
許可|きょか|18
告白|こくはく|18
告げる|つげる|18
喫茶店|きっさてん|18
お守り|おまもり|18
留守番|るすばん|18
座禅|ざぜん|18
銀座|ぎんざ|18
駅弁|えきべん|18
金曜日|きんようび|18
土曜日|どようび|18
月曜日|げつようび|18
火曜日|かようび|18
書く|かく|16
下書き|したがき|18
書き直す|かきなおす|18
洗う|あらう|18
洗練|せんれん|18
焼ける|やける|20
煙|けむり|18
祈る|いのる|18
武士|ぶし|24
禁煙|きんえん|18
渡す|わたす|25
助ける|たすける|8
禁止|きんし|18
笛|ふえ|19
等しい|ひとしい|18
一等|いっとう|18
舌|した|19
手荷物|てにもつ|18
試す|ためす|18
友達|ともだち|18
伝達|でんたつ|18
平静|へいせい|18
書類|しょるい|18
人類|じんるい|18
種類|しゅるい|18
実験|じっけん|18
乱れる|みだれる|19
乱戦|らんせん|19
評論|ひょうろん|21
乱交|らんこう|19
参加|さんか|19
いい加減|いいかげん|19
宇宙|うちゅう|19
警官|けいかん|19
履歴書|りれきしょ|19
履く|はく|19
忙しい|いそがしい|19
若布|わかめ|19
布団|ふとん|19
生徒|せいと|19
信徒|しんと|19
得る|える|19
得意|とくい|19
説得|せっとく|19
恋人|こいびと|19
地中海|ちちゅうかい|8
大失敗|だいしっぱい|19
昆布|こんぶ|19
支える|ささえる|8
乱暴|らんぼう|19
梅干|うめぼし|19
比べる|くらべる|19
比例|ひれい|19
混ざる|まざる|19
減る|へる|19
若々しい|わかわかしい|19
歌詞|かし|19
財閥|ざいばつ|19
倒れる|たおれる|22
連続|れんぞく|19
非常口|ひじょうぐち|19
大きい順|おおきいじゅん|19
努力|どりょく|11
五十音順|ごじゅうおんじゅん|19
余計|よけい|20
倒す|たおす|20
不可分|ふかぶん|20
圧力|あつりょく|20
指圧|しあつ|20
夢|ゆめ|20
妻|つま|20
嫌い|きらい|20
電子機器|でんしきき|20
災害|さいがい|20
震災|しんさい|20
胸焼け|むねやけ|20
論理|ろんり|20
共犯者|きょうはんしゃ|20
産む|うむ|20
穴子|あなご|20
犯罪|はんざい|20
被る|かぶる|20
音訓|おんくん|20
理論|りろん|20
不思議|ふしぎ|20
防止|ぼうし|20
入学試験|にゅうがくしけん|20
乱す|みだす|21
任意|にんい|21
企てる|くわだてる|21
判子|はんこ|21
評判|ひょうばん|21
制度|せいど|21
参加する|さんかする|21
委員|いいん|21
正義|せいぎ|21
宇宙船|うちゅうせん|21
履き物|はきもの|21
連中|れんちゅう|19
改まる|あらたまる|19
無敵|むてき|21
発音|はつおん|9
済む|すむ|21
反省|はんせい|21
税金|ぜいきん|21
総合|そうごう|21
解ける|とける|21
設定する|せっていする|21
評価|ひょうか|22
認める|みとめる|21
確認|かくにん|21
責任|せきにん|21
投資|とうし|21
際|きわ|21
価|あたい|22
物価|ぶっか|22
安値|やすね|22
価値|かち|22
副業|ふくぎょう|22
勢力|せいりょく|22
各々|おのおの|22
各|かく|22
県営|けんえい|22
案内|あんない|22
機会|きかい|22
赤ん坊|あかんぼう|22
領域|りょういき|22
嫌味|いやみ|22
寝不足|ねぶそく|22
一応|いちおう|22
反応|はんのう|22
反応|はんおう|22
応援|おうえん|22
変態|へんたい|22
状態|じょうたい|22
示す|しめす|22
策|さく|22
大統領|だいとうりょう|22
置く|おく|22
罰ゲーム|ばつげーむ|22
罰ゲーム|ばつゲーム|22
藤|ふじ|22
被害者|ひがいしゃ|22
観客|かんきゃく|22
乳首|ちくび|23
備える|そなえる|23
準備|じゅんび|23
反則|はんそく|23
法則|ほうそく|23
割る|わる|23
増やす|ふやす|23
住宅|じゅうたく|23
導く|みちびく|23
教師|きょうし|23
律動|りつどう|23
指導|しどう|23
施設|しせつ|23
室|しつ|6
選挙する|せんきょする|23
断つ|たつ|23
経済的|けいざいてき|23
現場|げんば|23
職場|しょくば|23
職員|しょくいん|23
有職|ゆうしょく|23
辞職|じしょく|23
裁く|さばく|23
解く|とく|23
保護する|ほごする|23
革|かわ|23
鬼|おに|23
営業中|えいぎょうちゅう|24
営業する|えいぎょうする|24
寝坊する|ねぼうする|24
型|かた|24
時差|じさ|24
都庁|とちょう|24
一層|いっそう|24
自動販売機|じどうはんばいき|24
担ぐ|かつぐ|24
武器|ぶき|24
川口|かわぐち|2
集金|しゅうきん|10
狭い|せまい|24
祝う|いわう|24
中指|なかゆび|11
祝日|しゅくじつ|24
大丈夫|だいじょうぶ|18
外れる|はずれる|3
一人|ひとり|1
年輩|ねんぱい|25
対策|たいさく|24
管理|かんり|24
アメリカ製|あめりかせい|24
アメリカ製|アメリカせい|24
規準|きじゅん|24
対象|たいしょう|24
現象|げんしょう|24
限定|げんてい|24
触角|しょっかく|24
載る|のる|24
輸血|ゆけつ|24
上述|じょうじゅつ|24
述べる|のべる|24
違い|ちがい|24
半額|はんがく|24
定額|ていがく|24
与える|あたえる|25
吸収する|きゅうしゅうする|25
所属|しょぞく|25
巻く|まく|25
頑張る|がんばる|25
捕まる|つかまる|25
捜す|さがす|25
捜査|そうさ|25
景況|けいきょう|25
替わる|かわる|25
補う|おぎなう|25
文化|ぶんか|6
構う|かまう|25
票|ひょう|25
響く|ひびく|25
内|うち|3
肥料|ひりょう|25
東|ひがし|6
告訴|こくそ|25
訴訟|そしょう|25
逮捕|たいほ|25
影響|えいきょう|25
鮮やか|あざやか|25
氏名|しめい|7
見分ける|みわける|4
関心|かんしん|16
店|みせ|6
基本的|きほんてき|16
文字|もじ|4
本当に|ほんとうに|7
赤ちゃん|あかちゃん|4
丁目|ちょうめ|7
二日|ふつか|2
人々|ひとびと|2
百|ひゃく|4
向ける|むける|8
態と|わざと|22
お前|おまえ|8
部分|ぶぶん|9
千葉|ちば|10
田代島|たしろじま|12
路地|ろじ|10
不味い|まずい|17
通う|かよう|11
回る|まわる|5
病む|やむ|10
用意|ようい|11
会員|かいいん|12
支度|したく|11
無し|なし|17
勇む|いさむ|17
警告|けいこく|18
三日|みっか|2
記念日|きねんび|16
連日|れんじつ|19
上演|じょうえん|23
